Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	call	note number
1	Spectrogram 1	1	54.878202084	55.570154901	509.8	3887.4	rapid	7
2	Spectrogram 1	1	59.930341366	60.329544915	594.8	4142.3	rapid	4
3	Spectrogram 1	1	88.096297293	88.176138002	828.5	5544.4	squeak	1
4	Spectrogram 1	1	122.688261909	122.757457191	509.8	5331.9	squeak	1
5	Spectrogram 1	1	136.229737222	136.330868788	488.6	4907.1	squeak	1
6	Spectrogram 1	1	159.294706598	159.347933738	552.3	4057.4	squeak	1
7	Spectrogram 1	1	188.796329919	189.387151170	509.8	4546.0	squeak	2
8	Spectrogram 1	1	193.020011156	193.334051281	892.2	4694.7	squeak	2
9	Spectrogram 1	1	246.426649993	247.592324355	488.6	3738.7	wurp	6
10	Spectrogram 1	1	255.963892699	257.459575327	594.8	3483.8	wurp	8
11	Spectrogram 1	1	282.438502237	283.566917600	892.2	3356.4	wurp	6
