Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	call	note number
1	Spectrogram 1	1	39.795066972	39.950525596	233.7	3335.1	quank	1
2	Spectrogram 1	1	47.032050137	47.430024214	531.1	3590.0	quank	2
3	Spectrogram 1	1	52.721766899	52.889662212	488.6	3568.8	quank	1
4	Spectrogram 1	1	59.516146082	59.634294636	616.0	3398.8	quank	1
5	Spectrogram 1	1	64.698551319	65.569119612	552.3	3738.7	quank	2
6	Spectrogram 1	1	72.314463541	72.538323959	446.1	3590.0	double	2
7	Spectrogram 1	1	77.082442442	77.219246031	467.3	3335.1	quank	1
8	Spectrogram 1	1	98.786072102	99.053460935	488.6	2952.7	quank	2
9	Spectrogram 1	1	101.836296211	102.818794713	828.5	4843.4	squeak	2
10	Spectrogram 1	1	104.790010064	104.877066893	424.9	4163.6	squeak	1
11	Spectrogram 1	1	69.411792951	69.480194746	658.5	4248.6	squeak	1
12	Spectrogram 1	1	79.906798887	80.000074061	509.8	5353.2	squeak	1
13	Spectrogram 1	1	110.620351529	110.701190013	467.3	5671.8	squeak	1
14	Spectrogram 1	1	114.378755771	114.459594256	297.4	5289.5	squeak	1
15	Spectrogram 1	1	120.155529362	120.945259171	531.1	4652.2	squeak	2
16	Spectrogram 1	1	167.953261333	169.004161630	585.8	3830.3	squeak	2
17	Spectrogram 1	1	246.673056613	246.747676752	330.5	3620.0	squeak	1
18	Spectrogram 1	1	249.561994051	249.655269226	180.3	4371.1	squeak	1
19	Spectrogram 1	1	249.947531438	250.308195446	330.5	3680.1	quank	2
20	Spectrogram 1	1	273.911333988	274.390146550	285.4	3499.9	rapid	3
21	Spectrogram 1	1	276.860252100	277.668636944	420.6	3319.6	quank	3
