Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	call	note number
1	Spectrogram 1	1	67.025717258	67.133785591	563.000	4714.900	squeak	1
2	Spectrogram 1	1	78.575138123	79.103472199	727.200	5723.600	squeak	2
3	Spectrogram 1	1	83.001996284	83.260159526	469.100	3260.600	double	2
4	Spectrogram 1	1	93.838405404	94.078557257	375.300	3213.700	double	2
5	Spectrogram 1	1	99.747824528	100.011991566	422.200	4456.900	double	2
6	Spectrogram 1	1	101.435954581	101.495992544	867.900	4621.100	squeak	1
7	Spectrogram 1	1	107.905853734	109.220685126	774.100	4480.400	double	10
8	Spectrogram 1	1	112.723659593	115.075569690	630.878	3815.311	wurp	20
9	Spectrogram 1	1	118.793053033	122.002518797	420.585	4386.106	wurp	27
10	Spectrogram 1	1	125.894060663	128.233234785	781.087	3875.395	wurp	20
11	Spectrogram 1	1	131.840183933	134.353416383	510.711	4175.813	wurp	21
12	Spectrogram 1	1	138.271530565	140.725328464	630.878	4295.980	wurp	20
13	Spectrogram 1	1	145.068919386	147.340168306	480.669	4386.106	wurp	19
14	Spectrogram 1	1	150.596956006	152.999810004	420.585	4085.688	wurp	20
15	Spectrogram 1	1	156.473109283	158.774075479	630.878	4025.604	wurp	19
16	Spectrogram 1	1	162.539201825	164.453843438	450.627	4896.817	wurp	16
17	Spectrogram 1	1	164.967527773	165.035452974	871.213	5016.984	squeak	1
18	Spectrogram 1	1	167.479027112	167.576669589	510.711	5047.026	squeak	1
19	Spectrogram 1	1	168.781553228	170.399022085	690.962	4776.649	wurp	14
20	Spectrogram 1	1	173.882700868	173.946380745	630.878	5497.653	squeak	1
21	Spectrogram 1	1	175.317776489	175.394192341	871.213	5527.695	squeak	1
22	Spectrogram 1	1	177.120150797	179.183378788	420.585	4386.106	wurp	18
24	Spectrogram 1	1	185.781686711	187.823688077	540.753	4836.733	wurp	18
25	Spectrogram 1	1	190.361759731	190.416948957	811.129	5137.151	squeak	1
26	Spectrogram 1	1	193.182067632	195.393882001	690.962	4326.022	wurp	19
27	Spectrogram 1	1	200.353200997	202.416428988	660.920	4536.315	wurp	18
28	Spectrogram 1	1	207.602795006	209.576871170	811.129	3875.395	wurp	17
29	Spectrogram 1	1	213.736812944	215.698153133	510.711	4055.646	wurp	17
30	Spectrogram 1	1	219.594884752	221.543488966	570.795	3935.478	wurp	17
31	Spectrogram 1	1	225.533617737	227.219011795	480.669	3845.353	wurp	15
32	Spectrogram 1	1	334.126264733	334.932876499	721.004	3004.182	rapid	9
33	Spectrogram 1	1	342.930903830	343.007319681	841.171	3004.182	quank	
34	Spectrogram 1	1	343.911573924	344.539882037	871.213	3214.475	rapid	7
35	Spectrogram 1	1	351.690889142	352.527218183	570.795	3214.475	quank	3
36	Spectrogram 1	1	352.709767162	353.138544996	781.087	3124.349	rapid	4
37	Spectrogram 1	1	356.590461712	356.891879793	965.057	3890.387	squeak	2
38	Spectrogram 1	1	361.749155050	361.872269477	753.951	3076.120	quank	1
39	Spectrogram 1	1	362.432652388	362.920864773	482.529	2895.171	rapid	6
40	Spectrogram 1	1	364.709402740	365.312238902	633.319	3076.120	rapid	6
41	Spectrogram 1	1	367.869336648	368.985857145	301.580	3287.226	rapid	13
42	Spectrogram 1	1	369.219661705	374.529930443	934.899	3226.910	quank	12
43	Spectrogram 1	1	377.669738090	379.609851654	999.080	3360.542	quank	5
44	Spectrogram 1	1	380.404039125	380.718193181	756.879	3299.992	rapid	4
46	Spectrogram 1	1	381.143825904	381.407036059	514.678	3088.066	rapid	3
47	Spectrogram 1	1	382.226383801	382.455631355	544.953	3511.918	quank	1
48	Spectrogram 1	1	383.996996041	384.595586878	454.127	2936.690	quank	2
49	Spectrogram 1	1	388.882888209	388.976285361	696.329	3360.542	quank	1
50	Spectrogram 1	1	391.646594839	391.986220846	635.778	3481.643	rapid	4
51	Spectrogram 1	1	392.199431445	392.284337947	575.228	2997.240	quank	1
52	Spectrogram 1	1	395.300875033	396.982023766	181.651	3602.743	wurp	14
