,Recording,DATE,TIME,WP,Treatment,Track,DIAH,DICDV,HD,VD,H app d,V app d,Other
1,02062024_trial01,2/6/24,10:53,1154,Less,1,N,N,17.58,8.65,0,0,1155 waypoint for vertical distance later
2,02062024_trial02,2/6/24,11:18,1156,Less,2,N,N,18.5,3.46,0,0,Made no quanks during trial
3,02082024_trial03,2/8/24,8:45,1158,More,3,Y,Y,0,7,16.6,1.8,Two nuthatches present. One vigilant the whole observation time and making quank calls. Likely Male.
4,02082024_trial04,2/8/24,9:22,1159,Control,1,N,N,17.8,1.6,0,0,"I believe after flying the nuthatch started responding to chickadee calls in the background, as it flew closer to chickadees and was looking at them."
5,,2/8/24,9:43,1160,More,1,N,N,18.2,5.2,0,0,Observed nuthatch was not responding other than looking at us. Another nuthatch was calling aggressively in the distance and one nuthatch did approach the tree right next to us but not the observed nuthatch. Maybe on the edge of territory?
6,02122024_trial05,2/12/24,9:35,1161,More,3,Y,N,12.6,4.2,12,0,Two nuthatch. One clearly came in horizontally but was not responding for long before going back to foraging. The other only slightly gave a horizontal approach but remained behind the more aggressive approach.
7,02122024_trial06,2/12/24,10:15,1257,Less,1,N,N,3.2,9.8,0,0,Both nuthatches were looking during trial but neither approached. Only flew closer during foraging.
8,02122024_trial07,2/12/24,11:45,1595,More,1,N,N,17,5.6,0,0,Made an intense vocal response but did not approach. Only one in the pair made a vocal response. Neither made an approach. 
9,02132024_trial08,2/13/24,10:36,1596,More,3,N,N,20.4,11.2,0,0,Male was paying attention during trial but flew away shortly after and female followed him. Recorder stopped working due to a battery issue. Made no vocal response so shouldn’t be an issue.
10,,2/14/24,10:02,1597,Less,3,N,N,7.6,7,0,0,Female was following the male when foraging and male slightly looked but continued foraging during and after the trial
11,,2/14/24,11:30,1598,Control,3,N,N,19.8,9.2,0,0,Male did not respond at all. Briefly looked during playback but remained foraging the whole time and was consistently quanking the whole time both before and after the trial.
12,02152024_trial09,2/15/24,10:20,1599,Less,2,Y,N,19.8,8.6,5,0,Approach distance was different to its closest distance to me.no it wasn’t.  Male made an approach but shortly went to foraging 
13,02152024_trial10,2/15/24,10:55,1601,More,2,Y,Y,9.4,3,7.6,2.6,Male approached shortly and then went back to foraging tree.
14,02152024_trial11,2/15/24,11:25,1600,Control,1,N,N,18.2,10.2,0,0,Male was looking the whole playback but didn’t move or make much of a vocal response 
15,02162024_trial12,2/16/24,7:50,1602,Control,3,Y,N,13.6,6.4,4.3,0,During approach it went to the female that was foraging. Not sure if responding to us or just following its partner whilst foraging.
16,02162024_trial13,2/16/24,8:50,1603,Control,1,N,N,14.6,10.2,0,0,partner flew back pretty early in the playback. Focal bird did not move from its original position at all.
17,02162024_trial14,2/19/24,10:38,1604,Less,2,Y,Y,7.52,3.8,4,2.2,Both birds made an approach and focal bird flew in closer and then started foraging after flying in closer. The approach distance was different than its closest distance since it made an approach and then went back to foraging on its original tree and then started foraging on closer trees towards us.
18,02162024_trial15,2/19/24,11:25,1605,More,1,Y,N,15.6,10.6,2,0,Both birds in the pair started at relatively the same position. One bird was doing an aggressive vocal response and one was doing wing flicks. Both were behaviorally responding aggressively but not physically responding aggressively. 
19,02212024_trial16,2/21/24,9:21,1606,Less,2,Y,N,20.2,11.8,3.4,0,Male was looking during playback and then went to foraging shortly after
20,02212024_trial17,2/21/24,9:26,1607,Less,1,N,N,44.8,6.8,0,0,Was looking during playback but then retreated.
21,02212024_trial18,2/21/24,10:23,1608,Control,3,N,N,13.2,8.6,0,0,"
"
22,02212024_trial19,2/21/24,11:21,1610,Less,3,N,N,13.4,3.4,0,0,Short vocal response and went back to foraging.
23,02222024_trial20,2/22/24,9:35,1611,Control,2,N,N,23.8,10.4,0,0,Vocal response before and during our trial. Did not move from position or look that much.
