Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Call	Note Number
1	Spectrogram 1	1	16.321589086	46.226879904	794.400	10110.100	Playback	
2	Spectrogram 1	1	46.919710168	47.031276260	433.300	4621.800	Squeak	1
3	Spectrogram 1	1	85.430638187	85.519891060	794.400	3899.600	Squeak	3  
4	Spectrogram 1	1	93.609974832	93.771745664	613.800	4296.800	Quank	1
5	Spectrogram 1	1	96.987222580	97.963425881	541.600	4477.300	Quank 	3
6	Spectrogram 1	1	99.543013754	100.535951968	469.400	4296.800	Quank	3
7	Spectrogram 1	1	102.150455471	103.042984203	577.700	4044.000	Quank	3
8	Spectrogram 1	1	104.035404293	104.883306588	541.600	3935.700	Quank	3
9	Spectrogram 1	1	106.321991044	107.130845207	325.000	3755.200	Quank	2
10	Spectrogram 1	1	119.229452953	119.536259705	433.300	4152.400	Squeak	2
11	Spectrogram 1	1	166.761222128	177.420217720	577.700	4441.200	Quank	28
12	Spectrogram 1	1	179.481708380	180.787031651	469.400	4044.000	Quank	3
13	Spectrogram 1	1	195.161792310	198.374895744	433.300	3574.700	Double	12
14	Spectrogram 1	1	200.046832874	202.992177689	577.700	3755.200	Double	12
15	Spectrogram 1	1	204.184175847	206.203522103	722.200	4224.600	Double	6
16	Spectrogram 1	1	207.269905955	208.993602068	541.600	3791.300	Double	6
17	Spectrogram 1	1	210.080540119	219.574910769	541.600	3574.700	Double	26
18	Spectrogram 1	1	220.651318667	227.886379699	505.500	3502.400	Double	24
19	Spectrogram 1	1	256.668443439	258.877451920	397.200	3249.700	Double	8
20	Spectrogram 1	1	260.329461689	260.574907090	541.600	3249.700	Double	2
21	Spectrogram 1	1	261.740977394	262.014314318	361.100	2852.500	Double	2
22	Spectrogram 1	1	264.892201224	266.894812565	397.200	3430.200	Double	6
35	Spectrogram 1	1	208.884081022	209.004453343	606.061	3555.556	Quank	1
