Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Call	Note Number
1	Spectrogram 1	1	11.556170037	45.452982008	288.900	5741.100	Playback	
2	Spectrogram 1	1	74.576917532	74.682410510	252.800	4116.300	Quank	1
3	Spectrogram 1	1	76.053518342	77.597551933	252.800	5127.300	Quank	3
4	Spectrogram 1	1	80.654547912	85.133204353	649.900	4585.700	Quank	9
5	Spectrogram 1	1	87.202402355	90.707646314	505.500	5091.200	Quank	8
6	Spectrogram 1	1	92.841428447	98.021271661	361.100	5163.400	Quank	10
7	Spectrogram 1	1	99.484035570	103.142723862	469.400	4838.400	Quank	11
8	Spectrogram 1	1	105.054531816	117.334873513	433.300	4874.500	Quank	30
9	Spectrogram 1	1	119.247831725	122.956417611	252.800	5416.100	Quank	10
10	Spectrogram 1	1	126.107918561	126.223001810	433.300	4332.900	Quank	1
11	Spectrogram 1	1	128.279513273	130.010557144	288.900	4405.100	Quank	5
12	Spectrogram 1	1	131.237810915	133.817593747	288.900	4585.700	Quank	7
13	Spectrogram 1	1	134.853590451	134.973468835	541.600	4044.000	Quank	1
14	Spectrogram 1	1	136.937474833	137.057353217	397.200	4080.200	Quank	1
15	Spectrogram 1	1	138.561875451	139.583239286	288.900	4477.300	Quank	3
16	Spectrogram 1	1	141.262633676	147.366841009	433.300	4116.300	Quank	14
17	Spectrogram 1	1	148.837797219	155.124219697	397.200	4007.900	Quank	12
18	Spectrogram 1	1	158.637302034	162.032257880	397.200	4224.600	Quank	9
19	Spectrogram 1	1	165.996932291	166.687431786	325.000	4441.200	Quank	2
20	Spectrogram 1	1	168.149647033	170.416595792	325.000	4332.900	Quank	4
21	Spectrogram 1	1	172.008580737	172.464118597	288.900	4369.000	Quank	2
22	Spectrogram 1	1	175.463272224	179.414463773	361.100	4694.000	Quank	10
23	Spectrogram 1	1	180.974528282	186.551270724	505.500	4441.200	Quank	13
24	Spectrogram 1	1	187.999401608	188.143255669	361.100	4080.200	Quank	1
25	Spectrogram 1	1	192.173363323	193.722192049	433.300	4513.400	Quank	3
26	Spectrogram 1	1	196.871693493	199.686437959	469.400	4296.800	Quank	6
27	Spectrogram 1	1	200.816090401	200.950354192	541.600	4007.900	Quank	1
28	Spectrogram 1	1	203.367350040	204.546953343	433.300	4477.300	Quank	3
29	Spectrogram 1	1	207.090869836	210.639270014	541.600	4260.700	Quank	6
30	Spectrogram 1	1	215.470713701	216.079695894	397.200	4260.700	Quank	2
31	Spectrogram 1	1	223.302213669	223.465248271	397.200	4766.200	Quank	1
32	Spectrogram 1	1	225.557873535	226.473744392	433.300	4657.900	Quank	2
33	Spectrogram 1	1	227.780816844	232.825546878	722.200	4838.400	Quank	8
34	Spectrogram 1	1	239.647821291	239.806060759	541.600	4152.400	Quank	1
35	Spectrogram 1	1	244.357440354	244.472523603	649.900	3971.800	Squeak	1
36	Spectrogram 1	1	291.790441666	292.600819545	577.700	3683.000	Quank	
