Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Call
1	Spectrogram 1	1	21.51624773	51.44001221	588.2	3882.4	
2	Spectrogram 1	1	119.8656975	121.2114644	698.8	4891.5	WBNU-quank
3	Spectrogram 1	1	122.3899863	123.306955	465.9	5423.9	WBNU-quank
4	Spectrogram 1	1	276.0630873	276.4885871	565.7	3627	WBNU-quank
5	Spectrogram 1	1	278.3599042	279.4318999	499.1	3560.5	WBNU-quank
6	Spectrogram 1	1	280.5600902	280.6953266	532.4	3993.1	WBNU-quank
7	Spectrogram 1	1	284.9664445	285.8085247	565.7	4159.5	WBNU-quank
9	Spectrogram 1	1	294.216262	294.6054789	266.2	3627	WBNU-trill
10	Spectrogram 1	1	299.1149418	299.8801818	798.6	3061.4	WBNU-trill
11	Spectrogram 1	1	306.9058692	306.9916289	432.6	2994.8	WBNU-trill
12	Spectrogram 1	1	308.0002202	308.969964	433.4	2567.3	WBNU-trill
