Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	CALL
1	Spectrogram 1	1	30.606065811	60.131294431	433.3	3899.6	Playback
2	Spectrogram 1	1	62.559089990	62.744119754	505.5	4369.0	WBNU
3	Spectrogram 1	1	66.778447822	66.972966292	397.2	4332.9	WBNU
4	Spectrogram 1	1	68.064167464	69.326165341	433.3	4116.3	WBNU
5	Spectrogram 1	1	71.664536090	71.840077148	433.3	4621.8	WBNU
6	Spectrogram 1	1	74.794373382	76.132280906	649.9	5271.7	WBNU
7	Spectrogram 1	1	85.010540760	85.190826171	288.9	4694.0	WBNU
8	Spectrogram 1	1	89.570651610	91.871662776	505.5	5343.9	WBNU
9	Spectrogram 1	1	93.815411839	94.009930308	686.0	4477.3	WBNU
10	Spectrogram 1	1	95.812486720	95.992772131	433.3	4441.2	WBNU
11	Spectrogram 1	1	102.410690995	102.605209465	794.4	4152.4	WBNU
12	Spectrogram 1	1	103.824508165	105.024829454	397.2	4224.6	WBNU
13	Spectrogram 1	1	109.682593540	110.807005182	541.6	4369.0	WBNU
14	Spectrogram 1	1	112.807143784	114.126073896	577.7	5705.0	WBNU
15	Spectrogram 1	1	116.600350092	119.660160028	722.2	4730.1	WBNU
16	Spectrogram 1	1	120.867991692	121.057765809	722.2	4152.4	WBNU
17	Spectrogram 1	1	122.447861215	122.632890979	649.9	4188.5	WBNU
18	Spectrogram 1	1	125.258986468	125.439271879	613.8	4188.5	WBNU
19	Spectrogram 1	1	127.402295896	127.577836954	505.5	4477.3	WBNU
20	Spectrogram 1	1	143.730520379	143.920294496	613.8	4730.1	WBNU
