Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	CALL
1	Spectrogram 1	1	19.748927896	49.733123394	794.4	4838.4	Playback
2	Spectrogram 1	1	93.136486903	93.778821853	649.9	5127.3	WBNU
3	Spectrogram 1	1	95.774166435	110.508192522	649.9	4874.5	WBNU
4	Spectrogram 1	1	112.299946220	125.769710136	686.0	4621.8	WBNU
5	Spectrogram 1	1	127.317140729	127.522687914	577.7	4621.8	WBNU
6	Spectrogram 1	1	130.206454780	184.997626074	541.6	4044.0	WBNU
7	Spectrogram 1	1	188.655244839	194.410565997	686.0	4296.8	WBNU
8	Spectrogram 1	1	195.901018878	210.501292307	794.4	4332.9	WBNU
9	Spectrogram 1	1	211.592527910	216.908564210	722.2	4296.8	WBNU
10	Spectrogram 1	1	218.896112243	219.300783261	325.0	4296.8	WBNU
11	Spectrogram 1	1	232.043626387	232.249173571	649.9	3574.7	WBNU
12	Spectrogram 1	1	233.784589902	234.002983785	505.5	3321.9	WBNU
13	Spectrogram 1	1	235.394589190	235.593713025	397.2	3755.2	WBNU
14	Spectrogram 1	1	237.302323994	238.118089381	469.4	3646.9	WBNU
15	Spectrogram 1	1	239.287610588	239.467464375	469.4	3249.7	WBNU
16	Spectrogram 1	1	240.906294664	241.137535246	433.3	3466.3	WBNU
17	Spectrogram 1	1	249.222381619	249.421505454	722.2	3755.2	WBNU
18	Spectrogram 1	1	250.911722540	252.157852344	505.5	3863.5	WBNU
19	Spectrogram 1	1	254.498920398	255.828553746	541.6	4080.2	WBNU
20	Spectrogram 1	1	258.166056353	258.358756838	577.7	3574.7	WBNU
21	Spectrogram 1	1	261.616463249	262.310184995	541.6	3791.3	WBNU
22	Spectrogram 1	1	265.430975576	265.623676062	361.1	3285.8	WBNU
