Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	CALL
1	Spectrogram 1	1	27.137717511	57.057379731	882.9	10790.5	Playback
2	Spectrogram 1	1	58.013800228	58.283300925	490.5	4283.5	WBNU
3	Spectrogram 1	1	62.867821945	63.040709185	555.9	4087.3	WBNU
4	Spectrogram 1	1	65.076840258	65.539567869	457.8	3662.2	WBNU
5	Spectrogram 1	1	67.032271476	67.301772172	555.9	3825.7	WBNU
6	Spectrogram 1	1	69.026405273	69.402689265	359.7	4054.6	WBNU
7	Spectrogram 1	1	70.627682398	71.105664765	425.1	3923.8	WBNU
8	Spectrogram 1	1	72.528310769	72.914764598	588.6	3923.8	WBNU
9	Spectrogram 1	1	74.500786966	75.034703440	392.4	4021.9	WBNU
10	Spectrogram 1	1	76.059407851	76.415352167	457.8	4021.9	WBNU
11	Spectrogram 1	1	77.976795569	78.561561231	523.2	3891.1	WBNU
12	Spectrogram 1	1	80.459081572	80.926894102	588.6	4087.3	WBNU
13	Spectrogram 1	1	83.221697071	83.481027930	327.0	4218.1	WBNU
14	Spectrogram 1	1	84.714872975	84.979288753	228.9	4087.3	WBNU
15	Spectrogram 1	1	87.402532618	88.821224964	523.2	4218.1	WBNU
16	Spectrogram 1	1	92.050049671	93.595864987	588.6	4087.3	WBNU
17	Spectrogram 1	1	95.954981678	96.132953836	130.8	3923.8	WBNU
18	Spectrogram 1	1	97.363690850	97.648446303	327.0	4021.9	WBNU
19	Spectrogram 1	1	99.306129832	99.484101990	392.4	4152.7	WBNU
20	Spectrogram 1	1	100.990083583	101.254499361	196.2	4021.9	WBNU
21	Spectrogram 1	1	107.479845714	107.667987710	523.2	4054.6	WBNU
22	Spectrogram 1	1	108.794390498	108.962192818	261.6	4021.9	WBNU
23	Spectrogram 1	1	111.094937349	112.376336886	359.7	4218.1	WBNU
24	Spectrogram 1	1	113.695494409	113.873466567	327.0	3989.2	WBNU
25	Spectrogram 1	1	116.576380967	116.840796744	359.7	3825.7	WBNU
26	Spectrogram 1	1	121.263918289	121.441890447	359.7	3923.8	WBNU
27	Spectrogram 1	1	126.839339513	127.022396590	294.3	3760.3	WBNU
28	Spectrogram 1	1	131.114339450	131.282141770	163.5	3564.1	WBNU
29	Spectrogram 1	1	133.092372863	133.250005346	196.2	3694.9	WBNU
30	Spectrogram 1	1	138.001856507	138.200168341	294.3	3956.5	WBNU
31	Spectrogram 1	1	149.087440757	149.224733565	392.4	3662.2	WBNU
32	Spectrogram 1	1	161.224658722	161.911122760	294.3	4120.0	WBNU
33	Spectrogram 1	1	177.500528411	178.603955791	523.2	3531.4	WBNU
34	Spectrogram 1	1	183.484061064	183.636608628	523.2	3531.4	WBNU
35	Spectrogram 1	1	186.876734197	188.355220975	686.7	4120.0	WBNU
36	Spectrogram 1	1	189.602530580	189.765247982	654.0	3694.9	WBNU
37	Spectrogram 1	1	193.112156845	193.279959166	523.2	3531.4	WBNU
