Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	CALL
1	Spectrogram 1	1	27.195823442	57.094705966	288.9	4224.6	Playback
2	Spectrogram 1	1	93.950500933	94.537533901	536.2	4110.6	WBNU
3	Spectrogram 1	1	103.732939256	103.917008916	331.9	4774.5	WBNU
4	Spectrogram 1	1	107.029065573	114.018737777	577.7	4441.2	WBNU
5	Spectrogram 1	1	115.245324050	115.394569719	397.2	3863.5	WBNU
6	Spectrogram 1	1	116.692272718	119.617487847	541.6	3683.0	WBNU
7	Spectrogram 1	1	125.586414864	128.168364953	577.7	3935.7	WBNU
8	Spectrogram 1	1	129.931501396	130.747377725	577.7	3791.3	WBNU
9	Spectrogram 1	1	131.692600301	131.861745393	758.3	3683.0	WBNU
10	Spectrogram 1	1	133.078382043	135.202645411	613.8	3610.8	WBNU
11	Spectrogram 1	1	139.855438665	140.014634046	541.6	3683.0	WBNU
12	Spectrogram 1	1	147.276289206	149.888088428	794.4	4224.6	WBNU
13	Spectrogram 1	1	152.258157263	154.059055012	722.2	3863.5	WBNU
14	Spectrogram 1	1	157.414879597	157.544225844	794.4	3683.0	WBNU
15	Spectrogram 1	1	160.377690584	161.263214892	649.9	4585.7	WBNU
16	Spectrogram 1	1	167.745286371	169.571058399	613.8	3971.8	WBNU
17	Spectrogram 1	1	171.941127234	172.045599203	686.0	3466.3	WBNU
18	Spectrogram 1	1	176.524272509	176.648643900	361.1	3610.8	WBNU
19	Spectrogram 1	1	177.732428105	179.214935092	649.9	3827.4	WBNU
20	Spectrogram 1	1	225.727374729	226.563150480	758.3	3358.0	WBNU
21	Spectrogram 1	1	228.287222408	228.456367500	794.4	3285.8	WBNU
22	Spectrogram 1	1	265.732133735	265.951027384	577.7	3394.1	WBNU
23	Spectrogram 1	1	267.497473166	269.149125245	866.6	3610.8	WBNU
24	Spectrogram 1	1	270.226465392	272.067161987	722.2	3574.7	WBNU
25	Spectrogram 1	1	305.285649533	305.534392316	541.6	3321.9	WBNU
