Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	CALL
1	Spectrogram 1	1	16.321589086	46.226879904	794.4	10110.1	Playback
2	Spectrogram 1	1	46.919710168	47.031276260	433.3	4621.8	WBNU
3	Spectrogram 1	1	85.430638187	85.519891060	794.4	3899.6	WBNU
4	Spectrogram 1	1	93.609974832	93.771745664	613.8	4296.8	WBNU
5	Spectrogram 1	1	96.987222580	97.963425881	541.6	4477.3	WBNU
6	Spectrogram 1	1	99.543013754	100.535951968	469.4	4296.8	WBNU
7	Spectrogram 1	1	102.150455471	103.042984203	577.7	4044.0	WBNU
8	Spectrogram 1	1	104.035404293	104.883306588	541.6	3935.7	WBNU
9	Spectrogram 1	1	106.321991044	107.130845207	325.0	3755.2	WBNU
10	Spectrogram 1	1	119.229452953	119.536259705	433.3	4152.4	WBNU
11	Spectrogram 1	1	166.761222128	177.420217720	577.7	4441.2	WBNU
12	Spectrogram 1	1	179.481708380	180.787031651	469.4	4044.0	WBNU
13	Spectrogram 1	1	195.161792310	198.374895744	433.3	3574.7	WBNU
14	Spectrogram 1	1	200.046832874	202.992177689	577.7	3755.2	WBNU
15	Spectrogram 1	1	204.184175847	206.203522103	722.2	4224.6	WBNU
16	Spectrogram 1	1	207.269905955	208.993602068	541.6	3791.3	WBNU
17	Spectrogram 1	1	210.080540119	219.574910769	541.6	3574.7	WBNU
18	Spectrogram 1	1	220.651318667	227.886379699	505.5	3502.4	WBNU
19	Spectrogram 1	1	256.668443439	258.877451920	397.2	3249.7	WBNU
20	Spectrogram 1	1	260.329461689	260.574907090	541.6	3249.7	WBNU
21	Spectrogram 1	1	261.740977394	262.014314318	361.1	2852.5	WBNU
22	Spectrogram 1	1	264.892201224	266.894812565	397.2	3430.2	WBNU
