Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	CALL
1	Spectrogram 1	1	17.494078827	47.358880721	324.3	5044.3	Playback
2	Spectrogram 1	1	63.719825608	63.925081979	432.4	3819.3	WBNU
3	Spectrogram 1	1	104.815197490	106.280499912	216.2	4684.0	WBNU
4	Spectrogram 1	1	108.021164547	116.602021143	576.5	4251.6	WBNU
5	Spectrogram 1	1	121.084818696	121.387001686	612.5	3999.4	WBNU
6	Spectrogram 1	1	123.454662764	124.053327178	504.4	4143.6	WBNU
7	Spectrogram 1	1	134.606703885	135.057127586	648.6	4359.7	WBNU
8	Spectrogram 1	1	138.411335355	138.844654360	576.5	4467.8	WBNU
9	Spectrogram 1	1	143.119978899	144.374323385	504.4	3999.4	WBNU
10	Spectrogram 1	1	146.010882085	146.432797957	756.6	4323.7	WBNU
11	Spectrogram 1	1	150.019501478	150.464223614	612.5	4539.9	WBNU
12	Spectrogram 1	1	165.309081513	165.930552190	432.4	3999.4	WBNU
