Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Call	Note Number
1	Spectrogram 1	1	15.378192016	44.224149621	693.600	4346.800	Playback	
2	Spectrogram 1	1	72.636170247	73.973417016	1156.100	2289.000	wurp	9
3	Spectrogram 1	1	84.288599115	85.769442852	901.700	2358.400	wurp	11
4	Spectrogram 1	1	93.889879568	95.128403421	1132.900	2312.100	wurp	9
5	Spectrogram 1	1	111.641096251	111.793668030	1618.500	3329.500	quank	1
6	Spectrogram 1	1	112.960393399	113.103990367	1479.800	3329.500	quank	1
7	Spectrogram 1	1	114.609808533	117.400974607	1294.800	3283.200	double	12
8	Spectrogram 1	1	119.016623692	121.825739388	1132.900	3098.300	double	10
9	Spectrogram 1	1	125.729523417	128.628387218	1179.200	3144.500	double	8
10	Spectrogram 1	1	134.612193949	135.796868939	1317.900	3491.300	double	6
11	Spectrogram 1	1	138.944010760	139.949189539	1063.600	2890.200	double	4
12	Spectrogram 1	1	143.812807941	145.239802815	1063.600	3306.400	wurp	12
13	Spectrogram 1	1	152.773676982	154.245545909	1202.300	3398.800	wurp	14
14	Spectrogram 1	1	160.622736189	162.363849432	1086.700	3491.300	wurp	17
15	Spectrogram 1	1	167.988663890	169.774651185	1364.200	3422.000	wurp	17
16	Spectrogram 1	1	176.059960018	177.594652618	1225.400	3422.000	wurp	15
17	Spectrogram 1	1	187.137376082	188.797716030	1086.700	3398.800	wurp	16
18	Spectrogram 1	1	230.078160861	231.433357251	1502.900	2751.400	wurp	13
19	Spectrogram 1	1	239.114028400	240.765393537	1017.300	2659.000	wurp	16
20	Spectrogram 1	1	249.096517579	250.676084232	1109.800	2659.000	wurp	15
21	Spectrogram 1	1	256.092344855	257.627037456	1109.800	2635.800	wurp	15
22	Spectrogram 1	1	265.874812971	267.427455193	1132.900	2659.000	wurp	15
