Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Call	Note Number
1	Spectrogram 1	1	21.028301934	50.273853015	423.500	4047.100	Playback	
2	Spectrogram 1	1	53.039977123	53.131106920	611.800	6352.900	squeak	1
3	Spectrogram 1	1	57.208680326	57.338865752	611.800	6682.400	squeak	1
4	Spectrogram 1	1	62.636442478	62.721063005	517.600	6070.600	squeak	1
5	Spectrogram 1	1	63.938296732	64.042445072	376.500	5929.400	squeak	1
6	Spectrogram 1	1	65.168549001	65.233641714	235.300	5647.100	squeak	1
7	Spectrogram 1	1	69.676212368	69.793379250	517.600	6258.800	squeak	1
8	Spectrogram 1	1	72.423124842	72.494726826	470.600	6870.600	squeak	1
9	Spectrogram 1	1	80.832611291	80.917231817	564.700	6964.700	squeak	1
10	Spectrogram 1	1	88.082969397	88.174099195	800.000	7294.100	squeak	1
11	Spectrogram 1	1	101.814143611	101.931310493	847.100	8235.300	squeak	1
12	Spectrogram 1	1	109.887200537	109.965311793	1035.300	8423.500	squeak	1
13	Spectrogram 1	1	135.382427439	135.838076427	564.700	6211.800	squeak	2
14	Spectrogram 1	1	144.688506077	144.773126603	752.900	7247.100	squeak	1
15	Spectrogram 1	1	148.028844736	148.119974534	941.200	6635.300	squeak	1
16	Spectrogram 1	1	150.863990877	150.955120675	611.800	6917.600	squeak	1
17	Spectrogram 1	1	156.007636630	156.098766427	658.800	6776.500	squeak	1
18	Spectrogram 1	1	159.160893516	159.239004771	423.500	7482.400	squeak	1
19	Spectrogram 1	1	165.034421046	165.145078658	705.900	6447.100	squeak	1
20	Spectrogram 1	1	172.856147034	172.947276832	752.900	7576.500	squeak	1
21	Spectrogram 1	1	187.211367591	187.295988117	847.100	6917.600	squeak	1
22	Spectrogram 1	1	195.709214092	195.800343890	894.100	7576.500	squeak	1
23	Spectrogram 1	1	203.452828825	203.563486437	800.000	6964.700	squeak	1
24	Spectrogram 1	1	208.645174712	208.749323052	988.200	7105.900	squeak	1
25	Spectrogram 1	1	211.766728789	211.864367858	1364.700	6729.400	squeak	1
26	Spectrogram 1	1	215.382987482	215.487135822	800.000	7341.200	squeak	1
27	Spectrogram 1	1	217.878807971	217.943900683	988.200	6870.600	squeak	1
28	Spectrogram 1	1	219.980697995	220.084846336	517.600	6305.900	squeak	1
29	Spectrogram 1	1	228.242523789	228.346672129	611.800	7152.900	squeak	1
30	Spectrogram 1	1	230.429034340	230.526673409	847.100	7152.900	squeak	1
31	Spectrogram 1	1	234.132444049	234.210555304	941.200	7435.300	squeak	1
32	Spectrogram 1	1	235.453826116	235.512409557	941.200	7576.500	squeak	1
33	Spectrogram 1	1	239.306105669	239.371198381	1176.500	7717.600	squeak	1
34	Spectrogram 1	1	241.821453971	241.912583769	847.100	8000.000	squeak	1
35	Spectrogram 1	1	243.557981258	243.629583242	1129.400	8047.100	squeak	1
36	Spectrogram 1	1	244.681793499	245.261118642	1223.500	7482.400	squeak	2
37	Spectrogram 1	1	246.464729232	246.542840487	752.900	7811.800	squeak	1
38	Spectrogram 1	1	249.280347559	249.377986628	752.900	7482.400	squeak	1
39	Spectrogram 1	1	256.055528863	257.305308946	658.800	6635.300	squeak	3
41	Spectrogram 1	1	259.283143172	260.795362347	1183.486	4100.917	quank	3
42	Spectrogram 1	1	261.540618687	261.822803126	1403.670	3605.505	quank	1
43	Spectrogram 1	1	268.590206325	269.605785924	1183.486	4458.716	quank	3
44	Spectrogram 1	1	272.196639545	272.388499671	1431.193	3330.275	quank	1
45	Spectrogram 1	1	288.768709187	288.935125652	1899.083	4541.284	squeak	1
46	Spectrogram 1	1	289.448846041	289.680381991	1899.083	3880.734	squeak	1
47	Spectrogram 1	1	291.113010684	291.330075637	1816.514	4321.101	squeak	1
48	Spectrogram 1	1	294.926118365	295.114241325	1844.037	4293.578	squeak	1
49	Spectrogram 1	1	296.684344487	296.908644939	1568.807	4458.716	squeak	1
50	Spectrogram 1	1	298.587280579	298.840523024	1486.239	4321.101	squeak	1
51	Spectrogram 1	1	303.337313294	303.568849245	1678.899	4321.101	squeak	1
