Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Call	Note Number
1	Spectrogram 1	1	17.494078827	47.358880721	324.300	5044.300	Playback	
2	Spectrogram 1	1	63.719825608	63.925081979	432.400	3819.300	quank	1
3	Spectrogram 1	1	104.815197490	106.280499912	216.200	4684.000	rapid	10
4	Spectrogram 1	1	108.021164547	116.602021143	576.500	4251.600	quank	13
5	Spectrogram 1	1	117.260736941	121.084818696	612.500	647.399	double	2
6	Spectrogram 1	1	123.454662764	124.053327178	504.400	4143.600	rapid	4
7	Spectrogram 1	1	134.606703885	135.057127586	648.600	4359.700	rapid	3
8	Spectrogram 1	1	138.411335355	138.844654360	576.500	4467.800	rapid	3
9	Spectrogram 1	1	143.119978899	144.374323385	504.400	3999.400	quank	4
10	Spectrogram 1	1	146.010882085	146.432797957	756.600	4323.700	rapid	3
11	Spectrogram 1	1	150.019501478	150.464223614	612.500	4539.900	rapid	3
12	Spectrogram 1	1	165.309081513	165.930552190	432.400	3999.400	rapid	4
14	Spectrogram 1	1	108.020432296	111.782376403	161.616	3878.788	rapid	17
