Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Call	note number
1	Spectrogram 1	1	37.470584851	67.095484393	252.800	3466.300	Playback	
2	Spectrogram 1	1	183.762946174	184.813883558	398.900	3553.700	double	2
3	Spectrogram 1	1	190.975082111	191.244224611	290.100	3372.400	double	2
4	Spectrogram 1	1	204.367281252	204.655648217	290.100	3481.100	double	2
5	Spectrogram 1	1	207.608617315	207.852127196	435.100	3263.600	double	2
6	Spectrogram 1	1	212.516073620	213.438847908	507.700	3372.400	double	4
7	Spectrogram 1	1	217.748920173	218.697327080	471.400	3444.900	double 	2
8	Spectrogram 1	1	221.134322023	221.397056369	471.400	3082.300	double	
9	Spectrogram 1	1	183.770856839	183.879917232	242.424	3313.131	quank	1
14	Spectrogram 1	1	217.766198186	217.848933657	323.232	3111.111	quank	1
