Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Call	Note Number
1	Spectrogram 1	1	28.893276936	58.939547677	632.200	4292.600	Playback	
2	Spectrogram 1	1	58.968353947	62.871188839	467.700	4209.200	quank	5
3	Spectrogram 1	1	65.279061300	66.844679258	601.300	4476.500	quank	3
4	Spectrogram 1	1	70.068493163	70.765785195	601.300	4443.100	quank	2
5	Spectrogram 1	1	72.193260392	73.505126442	400.900	4443.100	quank	3
6	Spectrogram 1	1	77.945059806	81.069717496	567.900	3942.000	double	8
7	Spectrogram 1	1	82.856309529	84.027233884	668.100	4008.800	double	4
8	Spectrogram 1	1	85.662285525	88.902182848	567.900	4342.900	quank	6
9	Spectrogram 1	1	90.072496204	90.855305183	467.700	3774.900	rapid	6
10	Spectrogram 1	1	93.626926455	93.824273257	501.100	4109.000	quank	1
11	Spectrogram 1	1	98.150672107	98.387488269	300.700	3708.100	double	2
12	Spectrogram 1	1	100.532231662	100.755891370	400.900	3774.900	double	2
13	Spectrogram 1	1	104.037204656	121.838603401	467.700	4109.000	double	48
14	Spectrogram 1	1	123.260594339	124.536770321	501.100	3474.300	double	6
15	Spectrogram 1	1	125.605241982	129.381144117	400.900	3975.400	double	12
16	Spectrogram 1	1	134.546870660	135.934876497	634.700	3307.300	double	6
17	Spectrogram 1	1	138.137971294	138.387943909	367.500	2873.000	double	2
18	Spectrogram 1	1	140.307322628	140.945410619	501.100	3507.700	double	4
19	Spectrogram 1	1	142.388841203	143.125602595	267.300	3407.500	double	4
20	Spectrogram 1	1	148.312285357	148.930638668	334.100	4042.200	double	4
21	Spectrogram 1	1	150.275395697	154.763451283	968.800	3942.000	double	
