Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	call	note number
1	Spectrogram 1	1	19.958127015	49.872183023	555.900	4872.100	Playback	
2	Spectrogram 1	1	51.020867330	51.131874637	588.600	4152.700	squeak	1
3	Spectrogram 1	1	88.185767723	91.984148181	425.100	4054.600	quank	7
4	Spectrogram 1	1	93.147008708	95.246494730	457.800	3891.100	quank	4
5	Spectrogram 1	1	96.462143165	96.602108900	523.200	3989.200	quank	1
6	Spectrogram 1	1	97.940429838	98.065916359	523.200	3793.000	quank	1
7	Spectrogram 1	1	103.191504640	103.789978816	490.500	4087.300	quank	2
8	Spectrogram 1	1	107.712385331	107.852351066	294.300	3204.500	quank	1
9	Spectrogram 1	1	126.924681405	128.715277529	588.600	3662.200	quank	4
10	Spectrogram 1	1	130.604360520	131.251098743	523.200	3956.500	quank	2
11	Spectrogram 1	1	141.540583695	142.438294959	425.100	3858.400	quank	3
12	Spectrogram 1	1	150.566156165	152.057515201	359.700	4021.900	quank	3
13	Spectrogram 1	1	212.323636654	212.497387221	719.400	3760.300	quank	1
14	Spectrogram 1	1	217.443543602	219.287230178	555.900	4741.300	quank	4
15	Spectrogram 1	1	238.368358556	239.019923183	784.800	4021.900	quank	2
