Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Call	Note Number
1	Spectrogram 1	1	18.241561496	47.727531000	361.100	4224.600	Playback	
2	Spectrogram 1	1	49.364451119	50.274849705	794.400	3466.300	quank	2
3	Spectrogram 1	1	54.210963034	58.354284954	505.500	3177.500	quank	9
4	Spectrogram 1	1	64.220333807	64.349680054	613.800	3430.200	quank	1
5	Spectrogram 1	1	72.342768939	73.268092092	830.500	3683.000	squeak	3
6	Spectrogram 1	1	74.730699656	74.879945326	722.200	3502.400	quank	1
7	Spectrogram 1	1	82.556764454	83.815402936	830.500	3791.300	quank	4
8	Spectrogram 1	1	92.831152317	94.244011324	613.800	3610.800	quank	3
9	Spectrogram 1	1	95.293705869	95.437976683	938.800	3430.200	quank	1
10	Spectrogram 1	1	98.939156565	99.919203130	866.600	3430.200	quank	3
11	Spectrogram 1	1	107.391706135	108.620495484	830.500	3971.800	squeak	3
12	Spectrogram 1	1	110.152751027	110.321896120	1047.100	3502.400	quank	1
13	Spectrogram 1	1	112.920853161	115.652048919	397.200	3610.800	quank	7
14	Spectrogram 1	1	123.520380607	126.589866550	505.500	3321.900	quank	8
15	Spectrogram 1	1	127.645924257	130.118427520	613.800	3683.000	quank	4
17	Spectrogram 1	1	133.722652592	135.090737899	469.400	3538.500	quank	3
18	Spectrogram 1	1	136.635411199	136.754807735	613.800	3249.700	quank	1
19	Spectrogram 1	1	144.706323809	144.875468902	577.700	3719.100	quank	1
20	Spectrogram 1	1	191.462754778	192.084611736	541.600	3610.800	quank	2
21	Spectrogram 1	1	231.654227477	231.788548580	469.400	3574.700	quank	1
22	Spectrogram 1	1	287.607662841	288.811577911	649.900	3502.400	quank	3
23	Spectrogram 1	1	292.906192541	293.040513644	613.800	3033.000	quank	1
24	Spectrogram 1	1	294.721282012	295.840624536	469.400	2996.900	quank	3
25	Spectrogram 1	1	299.126844357	299.848198428	541.600	3069.100	quank	2
26	Spectrogram 1	1	302.682747505	302.817068608	541.600	3285.800	quank	1
27	Spectrogram 1	1	304.384148141	305.075653078	686.000	3538.500	quank	2
