Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Call	Note Number
1	Spectrogram 1	1	57.630708942	87.753549797	611.800	5835.300	Playback	
2	Spectrogram 1	1	117.871345904	118.101755379	423.500	3858.800	double	2
3	Spectrogram 1	1	119.711579669	120.546173986	423.500	4141.200	double	4
4	Spectrogram 1	1	122.065648262	122.285817315	282.400	4094.100	double	2
5	Spectrogram 1	1	124.228776572	124.464306257	376.500	3952.900	double	2
6	Spectrogram 1	1	143.800129468	144.230227153	658.800	5082.400	squeak	2
7	Spectrogram 1	1	151.027089291	151.231897712	517.600	8000.000	double	2
8	Spectrogram 1	1	157.612208686	157.822137318	517.600	5976.500	double	2
9	Spectrogram 1	1	170.483236999	170.565160368	376.500	5694.100	squeak	1
10	Spectrogram 1	1	188.220061862	188.286624599	800.000	6682.400	squeak	1
11	Spectrogram 1	1	284.029063238	285.554885978	517.600	4470.600	wurp	9
12	Spectrogram 1	1	304.481091843	305.796985951	800.000	9317.600	wurp	8
13	Spectrogram 1	1	332.210961764	333.552456924	564.700	8847.100	wurp	8
