Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Call	Note Number
1	Spectrogram 1	1	6.779568681	35.427781957	1336.000	10218.400	Playback	
2	Spectrogram 1	1	145.064746907	146.046763459	794.400	4188.500	squeak	2
3	Spectrogram 1	1	150.548134831	150.749574124	722.200	3646.900	squeak	1
4	Spectrogram 1	1	152.398858334	152.612887582	686.000	3719.100	squeak	1
5	Spectrogram 1	1	170.106263908	170.276228311	722.200	3646.900	quank	1
6	Spectrogram 1	1	171.365259488	171.547813847	686.000	3719.100	quank	1
7	Spectrogram 1	1	177.602059604	178.867350162	938.800	4007.900	quank	2
8	Spectrogram 1	1	179.886551891	180.087991184	938.800	4044.000	quank	1
9	Spectrogram 1	1	184.686234553	184.856198956	613.800	3935.700	quank	1
10	Spectrogram 1	1	187.304945360	187.487499719	577.700	3935.700	quank	1
11	Spectrogram 1	1	189.172568786	189.367713101	1119.300	4152.400	quank	1
12	Spectrogram 1	1	192.636669271	192.819223630	974.900	4044.000	quank	1
13	Spectrogram 1	1	193.836793807	194.006758210	1047.100	4080.200	quank	1
14	Spectrogram 1	1	199.846974864	201.150035290	866.600	3971.800	quank	3
15	Spectrogram 1	1	202.302016246	202.478275627	938.800	3863.500	quank	1
16	Spectrogram 1	1	203.624192691	205.380491525	649.900	4188.500	quank	3
17	Spectrogram 1	1	209.480615864	213.724477811	722.200	4369.000	quank	6
18	Spectrogram 1	1	216.302033273	218.757074655	577.700	4224.600	quank	4
19	Spectrogram 1	1	220.335129098	225.337651519	794.400	4260.700	quank	6
20	Spectrogram 1	1	226.758100282	226.909179751	722.200	4044.000	quank	1
21	Spectrogram 1	1	231.049521286	233.687117027	722.200	3971.800	quank	4
22	Spectrogram 1	1	237.186186445	239.024319992	649.900	4260.700	quank	3
23	Spectrogram 1	1	242.633436054	243.275523800	433.300	4007.900	quank	2
24	Spectrogram 1	1	245.045459453	246.719923574	866.600	4405.100	quank	3
25	Spectrogram 1	1	249.373603462	249.562452799	794.400	4007.900	quank	1
26	Spectrogram 1	1	254.059976082	255.495231043	1191.600	4369.000	quank	2
27	Spectrogram 1	1	256.521312441	257.610343618	1227.700	4007.900	quank	2
28	Spectrogram 1	1	265.649370491	268.463225613	1047.100	4224.600	quank	5
29	Spectrogram 1	1	287.424378946	287.638408194	866.600	4044.000	double	2
