Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Call	note number
1	Spectrogram 1	1	17.354163672	47.237974845	938.800	10001.800	Playback	
2	Spectrogram 1	1	47.814756343	48.636397910	938.800	4802.300	quank	2
3	Spectrogram 1	1	50.391680108	50.544037485	505.500	4332.900	quank	1
4	Spectrogram 1	1	61.481000066	61.666005452	252.800	3899.600	quank	1
5	Spectrogram 1	1	63.249433903	63.412673949	361.100	3827.400	quank	1
6	Spectrogram 1	1	70.513836693	70.693400745	541.600	4549.600	quank	1
7	Spectrogram 1	1	75.382184694	77.509746633	505.500	4405.100	quank	4
8	Spectrogram 1	1	82.691423272	82.827456644	433.300	4007.900	quank	1
9	Spectrogram 1	1	86.412613644	87.495439286	541.600	4224.600	quank	4
10	Spectrogram 1	1	92.611197307	93.394749530	469.400	4369.000	quank	2
11	Spectrogram 1	1	104.903052274	105.044526981	469.400	4477.300	quank	1
12	Spectrogram 1	1	108.565351639	109.452289224	397.200	4802.300	quank	2
13	Spectrogram 1	1	111.964880653	112.775639551	397.200	4369.000	quank	2
14	Spectrogram 1	1	114.556200900	115.666233216	433.300	4477.300	quank	3
15	Spectrogram 1	1	119.955872367	121.049580678	433.300	4152.400	quank	4
16	Spectrogram 1	1	124.290005873	127.070527998	469.400	4224.600	quank	5
17	Spectrogram 1	1	129.944456226	132.496442286	505.500	4188.500	quank	5
18	Spectrogram 1	1	135.171932506	135.324289883	433.300	3899.600	quank	1
19	Spectrogram 1	1	139.092524561	139.609451375	433.300	4477.300	quank	2
20	Spectrogram 1	1	141.132683710	141.731230547	361.100	4044.000	quank	2
21	Spectrogram 1	1	142.794840800	142.952639511	325.000	3899.600	quank	1
22	Spectrogram 1	1	146.092570727	147.017597657	325.000	4224.600	quank	2
23	Spectrogram 1	1	148.703106006	150.074322396	361.100	4188.500	quank	3
24	Spectrogram 1	1	154.694918943	155.532884515	433.300	4152.400	quank	2
25	Spectrogram 1	1	158.524936013	158.660969385	433.300	3935.700	quank	1
26	Spectrogram 1	1	160.180687915	160.964240138	180.500	4007.900	quank	3
27	Spectrogram 1	1	163.540200055	163.670792093	180.500	3683.000	quank	1
28	Spectrogram 1	1	166.269481204	167.608049585	613.800	4116.300	quank	3
29	Spectrogram 1	1	171.050767846	171.192242553	649.900	3899.600	quank	1
30	Spectrogram 1	1	173.773643806	174.600726708	288.900	3935.700	quank	3
31	Spectrogram 1	1	177.887573965	178.796276891	469.400	4152.400	quank	2
32	Spectrogram 1	1	182.637799052	182.801039098	325.000	4296.800	quank	1
33	Spectrogram 1	1	184.302847526	184.455204902	288.900	4116.300	quank	1
34	Spectrogram 1	1	186.563210020	188.184727815	397.200	4044.000	quank	3
35	Spectrogram 1	1	190.927441584	191.079798961	325.000	4369.000	quank	
