Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Call
1	Spectrogram 1	1	34.099438945	64.557156921	366.0	3227.7	Playback
2	Spectrogram 1	1	123.973376881	126.159575343	366.0	12811.1	WBNU-trill
3	Spectrogram 1	1	133.673468046	136.262477878	299.5	11247.2	wbnu-trill
4	Spectrogram 1	1	144.522969736	145.831245981	299.5	10947.7	WBNU-trill
5	Spectrogram 1	1	154.065727144	155.825014410	299.5	10282.2	WBNU-trill
6	Spectrogram 1	1	161.185370267	162.662345290	432.6	10614.9	WBNU-trill
7	Spectrogram 1	1	167.989038568	169.589955552	232.9	11679.7	WBNU-trill
8	Spectrogram 1	1	175.592462928	177.083209280	332.8	11646.5	wbnu-trill
9	Spectrogram 1	1	286.725458702	288.557045444	465.9	3527.2	WBNU-trill
10	Spectrogram 1	1	293.589440035	293.992251405	599.0	4525.5	WBNU-trill
11	Spectrogram 1	1	295.886827793	296.506537593	765.3	3127.9	WBNU-trill
12	Spectrogram 1	1	299.407566117	300.137446548	366.0	3893.2	WBNU-trill
13	Spectrogram 1	1	301.460512628	301.969285895	432.6	4891.5	WBNU-trill
14	Spectrogram 1	1	303.989462350	304.295874417	465.9	4092.9	WBNU-trill
15	Spectrogram 1	1	313.195714721	313.292114023	532.4	3760.1	WBNU-trill
16	Spectrogram 1	1	315.214359530	315.896040310	232.9	6488.7	WBNU-trill
