Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Call
1	Spectrogram 1	1	21.028301934	50.273853015	423.5	4047.1	
2	Spectrogram 1	1	53.039977123	53.131106920	611.8	6352.9	WBNU-squeak
3	Spectrogram 1	1	57.208680326	57.338865752	611.8	6682.4	WBNU-squeak
4	Spectrogram 1	1	62.636442478	62.721063005	517.6	6070.6	WBNU-squeak
5	Spectrogram 1	1	63.938296732	64.042445072	376.5	5929.4	WBNU-squeak
6	Spectrogram 1	1	65.168549001	65.233641714	235.3	5647.1	WBNU-squeak
7	Spectrogram 1	1	69.676212368	69.793379250	517.6	6258.8	WBNU-squeak
8	Spectrogram 1	1	72.423124842	72.494726826	470.6	6870.6	WBNU-squeak
9	Spectrogram 1	1	80.832611291	80.917231817	564.7	6964.7	WBNU-squeak
10	Spectrogram 1	1	88.082969397	88.174099195	800.0	7294.1	WBNU-squeak
11	Spectrogram 1	1	101.814143611	101.931310493	847.1	8235.3	WBNU-squeak
12	Spectrogram 1	1	109.887200537	109.965311793	1035.3	8423.5	WBNU-squeak
13	Spectrogram 1	1	135.382427439	135.838076427	564.7	6211.8	WBNU-squeak
14	Spectrogram 1	1	144.688506077	144.773126603	752.9	7247.1	WBNU-squeak
15	Spectrogram 1	1	148.028844736	148.119974534	941.2	6635.3	WBNU-squeak
16	Spectrogram 1	1	150.863990877	150.955120675	611.8	6917.6	WBNU-squeak
17	Spectrogram 1	1	156.007636630	156.098766427	658.8	6776.5	WBNU-squeak
18	Spectrogram 1	1	159.160893516	159.239004771	423.5	7482.4	WBNU-squeak
19	Spectrogram 1	1	165.034421046	165.145078658	705.9	6447.1	WBNU-squeak
20	Spectrogram 1	1	172.856147034	172.947276832	752.9	7576.5	WBNU-squeak
21	Spectrogram 1	1	187.211367591	187.295988117	847.1	6917.6	WBNU-squeak
22	Spectrogram 1	1	195.709214092	195.800343890	894.1	7576.5	WBNU-squeak
23	Spectrogram 1	1	203.452828825	203.563486437	800.0	6964.7	WBNU-squeak
24	Spectrogram 1	1	208.645174712	208.749323052	988.2	7105.9	WBNU-squeak
25	Spectrogram 1	1	211.766728789	211.864367858	1364.7	6729.4	WBNU-squeak
26	Spectrogram 1	1	215.382987482	215.487135822	800.0	7341.2	WBNU-squeak
27	Spectrogram 1	1	217.878807971	217.943900683	988.2	6870.6	WBNU-squeak
28	Spectrogram 1	1	219.980697995	220.084846336	517.6	6305.9	WBNU-squeak
29	Spectrogram 1	1	228.242523789	228.346672129	611.8	7152.9	WBNU-squeak
30	Spectrogram 1	1	230.429034340	230.526673409	847.1	7152.9	WBNU-squeak
31	Spectrogram 1	1	234.132444049	234.210555304	941.2	7435.3	WBNU-squeak
32	Spectrogram 1	1	235.453826116	235.512409557	941.2	7576.5	WBNU-squeak
33	Spectrogram 1	1	239.306105669	239.371198381	1176.5	7717.6	WBNU-squeak
34	Spectrogram 1	1	241.821453971	241.912583769	847.1	8000.0	WBNU-squeak
35	Spectrogram 1	1	243.557981258	243.629583242	1129.4	8047.1	WBNU-squeak
36	Spectrogram 1	1	244.681793499	245.261118642	1223.5	7482.4	WBNU-squeak
37	Spectrogram 1	1	246.464729232	246.542840487	752.9	7811.8	WBNU-squeak
38	Spectrogram 1	1	249.280347559	249.377986628	752.9	7482.4	WBNU-squeak
39	Spectrogram 1	1	256.055528863	257.305308946	658.8	6635.3	WBNU-squeak
