Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	CALL
1	Spectrogram 1	1	19.826550270	48.890812696	649.9	4044.0	Playback
2	Spectrogram 1	1	62.326413907	64.021292182	433.3	8774.1	WBNU
3	Spectrogram 1	1	73.659128147	74.032903584	397.2	6246.6	WBNU
4	Spectrogram 1	1	76.933358566	78.840902175	722.2	10435.1	WBNU
5	Spectrogram 1	1	81.940298392	85.504053852	758.3	9749.0	WBNU
6	Spectrogram 1	1	126.584346259	127.911893501	686.0	7149.3	WBNU
7	Spectrogram 1	1	138.718073459	140.812504787	613.8	8340.9	WBNU
8	Spectrogram 1	1	146.097626001	148.398278260	794.4	8629.7	WBNU
9	Spectrogram 1	1	156.037513818	157.558393182	433.3	8918.6	WBNU
10	Spectrogram 1	1	173.669626136	175.590058554	577.7	5885.5	WBNU
11	Spectrogram 1	1	181.698629781	183.573951370	577.7	8268.6	WBNU
12	Spectrogram 1	1	187.984067189	190.117164941	577.7	8304.7	WBNU
13	Spectrogram 1	1	194.745792079	197.085110762	722.2	7402.1	WBNU
14	Spectrogram 1	1	200.774288464	202.817164559	830.5	6896.5	WBNU
15	Spectrogram 1	1	208.824894172	210.951547520	649.9	7041.0	WBNU
16	Spectrogram 1	1	232.406736466	232.619401801	577.7	3321.9	WBNU
17	Spectrogram 1	1	234.256517010	238.154901222	649.9	3105.3	WBNU
18	Spectrogram 1	1	244.633907473	245.613456894	649.9	3141.4	WBNU
19	Spectrogram 1	1	250.510243582	251.760457975	686.0	3646.9	WBNU
20	Spectrogram 1	1	254.804123556	257.710549799	649.9	3394.1	WBNU
21	Spectrogram 1	1	259.434184254	263.975818907	541.6	3213.6	WBNU
22	Spectrogram 1	1	265.468053385	266.530183065	686.0	3466.3	WBNU
23	Spectrogram 1	1	268.546084259	274.623157311	686.0	3502.4	WBNU
24	Spectrogram 1	1	276.560292217	278.409836190	686.0	3755.2	WBNU
25	Spectrogram 1	1	279.985847771	280.179179893	541.6	3574.7	WBNU
26	Spectrogram 1	1	281.652679578	284.404440123	577.7	3430.2	WBNU
27	Spectrogram 1	1	287.788225411	288.033112766	649.9	3574.7	WBNU
28	Spectrogram 1	1	291.098853553	294.681942224	758.3	3791.3	WBNU
29	Spectrogram 1	1	296.158183903	298.342836888	541.6	4260.7	WBNU
30	Spectrogram 1	1	301.022511999	303.046054882	505.5	3791.3	WBNU
31	Spectrogram 1	1	304.275738623	307.317497352	505.5	3863.5	WBNU
32	Spectrogram 1	1	308.458156875	308.683711018	613.8	3863.5	WBNU
