Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Call type
1	Spectrogram 1	1	6.368272780	35.456458466	941.2	3905.9	Playback
2	Spectrogram 1	1	36.831930054	46.193146304	1031.5	4858.2	WBNU-quank
3	Spectrogram 1	1	47.819787959	54.586577892	732.1	4192.7	WBNU-quank
4	Spectrogram 1	1	55.684086247	76.569790597	831.9	4725.1	WBNU-quank
5	Spectrogram 1	1	78.697746675	90.887451251	698.8	4592.0	WBNU-quank
6	Spectrogram 1	1	95.488849434	98.921543284	798.6	4292.6	WBNU-quank
7	Spectrogram 1	1	99.933689919	104.730630778	831.9	4192.7	WBNU-quank
8	Spectrogram 1	1	105.801202555	106.828342751	665.5	3760.1	WBNU-quank
9	Spectrogram 1	1	108.378411669	112.519752858	632.2	4325.8	WBNU-quank
10	Spectrogram 1	1	113.658004182	130.458000354	765.3	4392.4	WBNU-quank
11	Spectrogram 1	1	131.874258630	147.848396295	698.8	4592.0	WBNU-quank
12	Spectrogram 1	1	149.914258864	151.366918127	665.5	3693.6	WBNU-quank
13	Spectrogram 1	1	156.177664206	158.419059284	798.6	3593.8	WBNU-quank
14	Spectrogram 1	1	160.920882933	166.964393645	931.7	4492.2	WBNU-quank
15	Spectrogram 1	1	169.079787792	170.616982354	865.2	3893.2	WBNU-quank
16	Spectrogram 1	1	171.619408570	172.562944331	665.5	3693.6	WBNU-quank
17	Spectrogram 1	1	175.579012300	176.379226173	465.9	3593.8	WBNU-quank
18	Spectrogram 1	1	177.685978682	178.330927177	532.4	3427.4	WBNU-quank
19	Spectrogram 1	1	179.497408097	179.599626033	565.7	3327.6	WBNU-quank
20	Spectrogram 1	1	180.762125787	183.645419063	698.8	3860.0	WBNU-quank
21	Spectrogram 1	1	185.040223069	189.939742973	831.9	4092.9	WBNU-quank
22	Spectrogram 1	1	191.065119942	191.897183123	565.7	3926.5	WBNU-quank
23	Spectrogram 1	1	219.536908203	219.624493801	898.4	3860.0	WBNU-quank
24	Spectrogram 1	1	221.023278738	221.652302579	698.8	4359.1	WBNU-quank
25	Spectrogram 1	1	225.225268246	225.874197904	698.8	5257.5	WBNU-quank
