Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Call
1	Spectrogram 1	1	21.516247732	51.440012207	588.2	3882.4	
2	Spectrogram 1	1	119.865697499	121.211464379	698.8	4891.5	WBNU-quank
3	Spectrogram 1	1	122.389986344	123.306954953	465.9	5423.9	WBNU-quank
4	Spectrogram 1	1	276.063087300	276.488587122	565.7	3627.0	WBNU-quank
5	Spectrogram 1	1	278.359904222	279.431899899	499.1	3560.5	WBNU-quank
6	Spectrogram 1	1	280.560090201	280.695326578	532.4	3993.1	WBNU-quank
7	Spectrogram 1	1	284.966444454	285.808524699	565.7	4159.5	WBNU-quank
9	Spectrogram 1	1	294.216261959	294.605478850	266.2	3627.0	WBNU-trill
10	Spectrogram 1	1	299.114941762	299.880181753	798.6	3061.4	WBNU-trill
11	Spectrogram 1	1	306.905869201	306.991628855	432.6	2994.8	WBNU-trill
12	Spectrogram 1	1	308.000220233	308.969964015	433.4	2567.3	WBNU-trill
