Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Call
1	Spectrogram 1	1	38.449111174	68.633918066	868.1	5566.0	Playback
2	Spectrogram 1	1	69.061382636	74.755025828	919.1	4851.1	WBNU
3	Spectrogram 1	1	77.628471374	90.019846434	612.8	6280.9	WBNU
4	Spectrogram 1	1	91.459590593	93.071812389	766.0	5157.4	WBNU
5	Spectrogram 1	1	94.252337059	98.748077698	306.4	4748.9	WBNU
6	Spectrogram 1	1	100.856706087	103.719829785	663.8	5463.8	WBNU
7	Spectrogram 1	1	105.103549660	116.242695176	766.0	4595.7	WBNU
8	Spectrogram 1	1	118.653851249	127.716091696	459.6	4697.9	WBNU
9	Spectrogram 1	1	130.554789143	132.195022883	510.6	4646.8	WBNU
10	Spectrogram 1	1	133.751095410	135.821326800	817.0	4493.6	WBNU
11	Spectrogram 1	1	140.210305178	151.653421192	714.9	4902.1	WBNU
12	Spectrogram 1	1	154.639040592	154.822596850	868.1	4493.6	WBNU
13	Spectrogram 1	1	157.564480168	157.720842906	1072.3	4136.2	WBNU
14	Spectrogram 1	1	159.051812986	164.392030208	714.9	4953.2	WBNU
15	Spectrogram 1	1	166.185414981	169.222778267	766.0	4238.3	WBNU
16	Spectrogram 1	1	171.324994102	171.763489607	1225.5	4953.2	WBNU
17	Spectrogram 1	1	174.995226491	178.178380547	663.8	5055.3	WBNU
18	Spectrogram 1	1	179.686237708	181.579586518	919.1	4289.4	WBNU
19	Spectrogram 1	1	182.797626980	184.803149059	868.1	4493.6	WBNU
20	Spectrogram 1	1	188.145932964	188.312493273	714.9	3778.7	WBNU
21	Spectrogram 1	1	190.407400044	190.577359542	714.9	4800.0	WBNU
22	Spectrogram 1	1	193.201908456	198.769025426	612.8	4136.2	WBNU
23	Spectrogram 1	1	204.333117581	209.547474987	612.8	3472.3	WBNU
24	Spectrogram 1	1	212.052171227	218.565019201	459.6	3472.3	WBNU
25	Spectrogram 1	1	223.324384167	243.267431693	561.7	3931.9	WBNU
26	Spectrogram 1	1	244.524292694	245.319703146	714.9	3676.6	WBNU
27	Spectrogram 1	1	246.528302387	247.758809155	561.7	3625.5	WBNU
28	Spectrogram 1	1	249.100857699	251.658935357	510.6	3574.5	WBNU
29	Spectrogram 1	1	253.987754743	261.578145936	204.3	3268.1	WBNU
30	Spectrogram 1	1	267.402337864	268.809602510	817.0	3319.1	WBNU
31	Spectrogram 1	1	273.173905351	273.360860799	817.0	3983.0	WBNU
32	Spectrogram 1	1	274.581169996	275.385140774	766.0	4085.1	WBNU
33	Spectrogram 1	1	277.186204821	278.812904428	663.8	3931.9	WBNU
34	Spectrogram 1	1	283.904508907	287.527382671	919.1	4034.0	WBNU
35	Spectrogram 1	1	288.590822340	288.828765637	714.9	3983.0	WBNU
36	Spectrogram 1	1	292.660908040	294.987590897	255.3	4289.4	WBNU
37	Spectrogram 1	1	296.064377923	296.275127701	612.8	4289.4	WBNU
38	Spectrogram 1	1	307.120547679	307.327898267	561.7	3319.1	WBNU
39	Spectrogram 1	1	308.616191264	308.843936992	357.4	3727.7	WBNU
40	Spectrogram 1	1	313.285539994	313.533680861	612.8	3778.7	WBNU
