Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	CALL
1	Spectrogram 1	1	54.985514113	84.905513106	830.5	5019.0	Playback
2	Spectrogram 1	1	87.419225071	88.488701572	722.2	6860.4	WBNU
3	Spectrogram 1	1	100.197655733	101.591523211	649.9	4946.7	WBNU
4	Spectrogram 1	1	110.034235931	111.970444573	577.7	4080.2	WBNU
5	Spectrogram 1	1	119.219658893	120.988603438	938.8	5668.9	WBNU
6	Spectrogram 1	1	142.082134096	144.216018489	758.3	4477.3	WBNU
7	Spectrogram 1	1	152.178690970	154.140242658	1047.1	5163.4	WBNU
8	Spectrogram 1	1	164.735000832	166.574905903	541.6	5488.4	WBNU
9	Spectrogram 1	1	173.854531878	175.952936008	541.6	4152.4	WBNU
10	Spectrogram 1	1	179.129420104	179.256135329	541.6	3574.7	WBNU
11	Spectrogram 1	1	222.723179109	222.910717643	830.5	4296.8	WBNU
12	Spectrogram 1	1	224.243761813	224.426231737	794.4	4044.0	WBNU
13	Spectrogram 1	1	228.616119756	228.788452462	469.4	4296.8	WBNU
14	Spectrogram 1	1	229.908615054	237.491254134	686.0	4044.0	WBNU
15	Spectrogram 1	1	239.688598850	244.488571584	541.6	4441.2	WBNU
16	Spectrogram 1	1	246.643571863	252.644804932	758.3	5019.0	WBNU
17	Spectrogram 1	1	255.305824230	270.785356150	722.2	4766.2	WBNU
18	Spectrogram 1	1	275.239709332	279.086783572	830.5	5668.9	WBNU
19	Spectrogram 1	1	280.888196295	287.107379552	541.6	4369.0	WBNU
20	Spectrogram 1	1	289.291631952	290.619607513	686.0	3935.7	WBNU
21	Spectrogram 1	1	291.666695871	294.804164849	433.3	3646.9	WBNU
22	Spectrogram 1	1	295.975275272	299.710840113	794.4	3574.7	WBNU
23	Spectrogram 1	1	302.211721499	302.394191423	541.6	4188.5	WBNU
24	Spectrogram 1	1	307.155934429	307.368816008	469.4	3249.7	WBNU
25	Spectrogram 1	1	308.463635554	311.215890247	686.0	3285.8	WBNU
26	Spectrogram 1	1	315.195589845	317.978256192	613.8	3069.1	WBNU
27	Spectrogram 1	1	319.936478629	322.288313210	794.4	3141.4	WBNU
28	Spectrogram 1	1	323.924837665	325.090617737	722.2	2960.8	WBNU
