Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	CALL
1	Spectrogram 1	1	6.779568681	35.427781957	1336.0	10218.4	Playback
2	Spectrogram 1	1	145.064746907	146.046763459	794.4	4188.5	WBNU
3	Spectrogram 1	1	150.548134831	150.749574124	722.2	3646.9	WBNU
4	Spectrogram 1	1	152.398858334	152.612887582	686.0	3719.1	WBNU
5	Spectrogram 1	1	170.106263908	170.276228311	722.2	3646.9	WBNU
6	Spectrogram 1	1	171.365259488	171.547813847	686.0	3719.1	WBNU
7	Spectrogram 1	1	177.602059604	178.867350162	938.8	4007.9	WBNU
8	Spectrogram 1	1	179.886551891	180.087991184	938.8	4044.0	WBNU
9	Spectrogram 1	1	184.686234553	184.856198956	613.8	3935.7	WBNU
10	Spectrogram 1	1	187.304945360	187.487499719	577.7	3935.7	WBNU
11	Spectrogram 1	1	189.172568786	189.367713101	1119.3	4152.4	WBNU
12	Spectrogram 1	1	192.636669271	192.819223630	974.9	4044.0	WBNU
13	Spectrogram 1	1	193.836793807	194.006758210	1047.1	4080.2	WBNU
14	Spectrogram 1	1	199.846974864	201.150035290	866.6	3971.8	WBNU
15	Spectrogram 1	1	202.302016246	202.478275627	938.8	3863.5	WBNU
16	Spectrogram 1	1	203.624192691	205.380491525	649.9	4188.5	WBNU
17	Spectrogram 1	1	209.480615864	213.724477811	722.2	4369.0	WBNU
18	Spectrogram 1	1	216.302033273	218.757074655	577.7	4224.6	WBNU
19	Spectrogram 1	1	220.335129098	225.337651519	794.4	4260.7	WBNU
20	Spectrogram 1	1	226.758100282	226.909179751	722.2	4044.0	WBNU
21	Spectrogram 1	1	231.049521286	233.687117027	722.2	3971.8	WBNU
22	Spectrogram 1	1	237.186186445	239.024319992	649.9	4260.7	WBNU
23	Spectrogram 1	1	242.633436054	243.275523800	433.3	4007.9	WBNU
24	Spectrogram 1	1	245.045459453	246.719923574	866.6	4405.1	WBNU
25	Spectrogram 1	1	249.373603462	249.562452799	794.4	4007.9	WBNU
26	Spectrogram 1	1	254.059976082	255.495231043	1191.6	4369.0	WBNU
27	Spectrogram 1	1	256.521312441	257.610343618	1227.7	4007.9	WBNU
28	Spectrogram 1	1	265.649370491	268.463225613	1047.1	4224.6	WBNU
29	Spectrogram 1	1	287.424378946	287.638408194	866.6	4044.0	WBNU
