Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	CALL
1	Spectrogram 1	1	26.128709624	56.141703825	714.9	11080.9	Playback
2	Spectrogram 1	1	87.763505036	88.978856434	561.7	6689.4	WBNU
3	Spectrogram 1	1	103.185367347	104.257736228	357.4	5719.1	WBNU
4	Spectrogram 1	1	108.549759531	109.300417748	408.5	5259.6	WBNU
5	Spectrogram 1	1	111.106989225	111.290823890	510.6	4697.9	WBNU
6	Spectrogram 1	1	113.703935119	113.892876303	612.8	4697.9	WBNU
7	Spectrogram 1	1	115.523366680	115.707201346	357.4	4697.9	WBNU
8	Spectrogram 1	1	119.747494143	120.620708803	306.4	4851.1	WBNU
9	Spectrogram 1	1	122.786909198	126.657650207	357.4	4544.7	WBNU
10	Spectrogram 1	1	127.752143602	130.453491879	459.6	4442.6	WBNU
11	Spectrogram 1	1	137.626628284	138.729636276	408.5	4544.7	WBNU
12	Spectrogram 1	1	142.041682216	142.215303844	561.7	4136.2	WBNU
13	Spectrogram 1	1	144.589360634	144.773195299	510.6	4646.8	WBNU
14	Spectrogram 1	1	148.660292542	148.844127207	408.5	4544.7	WBNU
15	Spectrogram 1	1	150.151583396	150.738833022	408.5	4238.3	WBNU
16	Spectrogram 1	1	152.540485557	155.052892650	459.6	4442.6	WBNU
17	Spectrogram 1	1	156.509287095	160.159499320	714.9	4851.1	WBNU
18	Spectrogram 1	1	161.344211608	161.528046273	612.8	4748.9	WBNU
19	Spectrogram 1	1	164.196670885	165.454197836	510.6	4238.3	WBNU
20	Spectrogram 1	1	173.535731948	186.870263297	357.4	4136.2	WBNU
21	Spectrogram 1	1	188.443070989	189.745233202	459.6	4391.5	WBNU
22	Spectrogram 1	1	190.862612239	192.517124227	357.4	4136.2	WBNU
23	Spectrogram 1	1	208.213128167	208.396962832	357.4	4391.5	WBNU
24	Spectrogram 1	1	211.083366470	212.012752833	663.8	4340.4	WBNU
25	Spectrogram 1	1	213.044269566	213.248530306	612.8	4034.0	WBNU
26	Spectrogram 1	1	217.229055982	217.417997166	459.6	4085.1	WBNU
27	Spectrogram 1	1	218.643561601	218.822289748	612.8	4340.4	WBNU
28	Spectrogram 1	1	227.174370279	227.358204944	306.4	3778.7	WBNU
