Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	CALL
1	Spectrogram 1	1	28.981640764	58.854001777	469.4	3177.5	Playback
2	Spectrogram 1	1	68.923668907	70.210744407	397.2	3719.1	WBNU
3	Spectrogram 1	1	71.435552499	75.958122142	541.6	3863.5	WBNU
4	Spectrogram 1	1	80.049701623	81.026454571	252.8	3899.6	WBNU
5	Spectrogram 1	1	82.636993072	84.381921516	469.4	4224.6	WBNU
6	Spectrogram 1	1	88.418442194	90.071800050	577.7	4405.1	WBNU
7	Spectrogram 1	1	91.623675344	93.597530261	649.9	3899.6	WBNU
8	Spectrogram 1	1	96.405957693	96.996079266	830.5	4513.4	WBNU
9	Spectrogram 1	1	98.892405010	99.014499129	830.5	3502.4	WBNU
10	Spectrogram 1	1	100.164218745	100.291400119	577.7	3610.8	WBNU
11	Spectrogram 1	1	108.038594786	108.196299689	505.5	4007.9	WBNU
12	Spectrogram 1	1	109.447764405	110.022624213	397.2	4369.0	WBNU
13	Spectrogram 1	1	112.937564950	114.010975742	577.7	4188.5	WBNU
14	Spectrogram 1	1	119.138290460	120.053996349	613.8	4513.4	WBNU
15	Spectrogram 1	1	124.616888472	125.873440442	686.0	4007.9	WBNU
16	Spectrogram 1	1	145.863367070	154.902724412	758.3	4477.3	WBNU
17	Spectrogram 1	1	156.154189128	156.316981286	613.8	4296.8	WBNU
18	Spectrogram 1	1	158.286912952	161.802468820	830.5	4188.5	WBNU
19	Spectrogram 1	1	162.830094318	163.674578639	722.2	4296.8	WBNU
20	Spectrogram 1	1	170.315454631	171.114153657	577.7	4044.0	WBNU
21	Spectrogram 1	1	172.920710913	173.836416802	938.8	4152.4	WBNU
22	Spectrogram 1	1	177.143977137	177.662877141	541.6	4080.2	WBNU
23	Spectrogram 1	1	180.371361575	183.357580225	902.7	4007.9	WBNU
24	Spectrogram 1	1	189.604034685	191.267567050	397.2	4044.0	WBNU
25	Spectrogram 1	1	196.240142803	197.171110458	649.9	4080.2	WBNU
26	Spectrogram 1	1	199.455550630	201.536237901	686.0	4188.5	WBNU
27	Spectrogram 1	1	205.563485369	209.246657946	686.0	4296.8	WBNU
28	Spectrogram 1	1	213.543848878	213.971178294	686.0	3863.5	WBNU
29	Spectrogram 1	1	215.120897910	215.304039088	686.0	4044.0	WBNU
30	Spectrogram 1	1	217.749469318	219.723324235	469.4	4296.8	WBNU
31	Spectrogram 1	1	230.000949579	230.845433899	541.6	4080.2	WBNU
32	Spectrogram 1	1	233.213072252	234.032120298	758.3	4585.7	WBNU
33	Spectrogram 1	1	235.529838055	235.712979233	613.8	4332.9	WBNU
34	Spectrogram 1	1	237.382180773	238.531900389	613.8	4405.1	WBNU
35	Spectrogram 1	1	239.848279070	240.489273193	794.4	4332.9	WBNU
36	Spectrogram 1	1	241.637772461	244.878353858	758.3	4188.5	WBNU
37	Spectrogram 1	1	246.875204519	247.058345697	866.6	4152.4	WBNU
38	Spectrogram 1	1	248.111088255	249.443949050	1011.0	4260.7	WBNU
39	Spectrogram 1	1	251.532689514	252.336475795	902.7	4152.4	WBNU
40	Spectrogram 1	1	254.726847354	259.188369937	758.3	4044.0	WBNU
41	Spectrogram 1	1	260.663673870	261.477634661	722.2	4332.9	WBNU
42	Spectrogram 1	1	264.152892368	266.065700226	722.2	4152.4	WBNU
43	Spectrogram 1	1	270.692342643	271.246853432	505.5	4080.2	WBNU
44	Spectrogram 1	1	274.623251315	275.503346420	505.5	4080.2	WBNU
45	Spectrogram 1	1	276.778445143	276.946324556	613.8	3899.6	WBNU
46	Spectrogram 1	1	278.268691625	278.431483784	613.8	3791.3	WBNU
47	Spectrogram 1	1	279.938474917	283.229928864	541.6	4260.7	WBNU
48	Spectrogram 1	1	288.244685543	290.335547324	469.4	4152.4	WBNU
49	Spectrogram 1	1	292.077453319	292.275856261	469.4	3791.3	WBNU
50	Spectrogram 1	1	295.722574580	297.040173610	505.5	4152.4	WBNU
51	Spectrogram 1	1	299.623860857	301.801205971	758.3	4657.9	WBNU
52	Spectrogram 1	1	304.616203544	305.206325117	830.5	4441.2	WBNU
53	Spectrogram 1	1	309.654331692	310.361460129	577.7	4332.9	WBNU
54	Spectrogram 1	1	318.679328151	318.872643838	433.3	4369.0	WBNU
